id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
178876;CelioSilveira;Célio Silveira;psdb;GO;1;0;1;1;1;1;1;1;1;1;1;1;NA;0;0;1;0;1;0;1
141405;CelsoMaldaner;Celso Maldaner;pmdb;SC;1;3;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
72912;CelsoPansera;Celso Pansera;pmdb;RJ;3;3;1;3;0;0;1;1;1;1;3;0;1;1;1;0;1;0;1;0
73441;CelsoRussomanno;Celso Russomanno;prb;SP;1;3;1;3;1;1;1;0;3;0;1;1;1;1;1;0;0;1;0;1
160576;CesarHalum;César Halum;prb;TO;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;3;1
178838;CesarMessias;César Messias;psb;AC;1;3;3;1;0;0;3;0;3;0;3;3;0;0;0;1;0;1;1;0
73720;CesarSouza;Cesar Souza;psd;SC;1;1;0;1;1;1;1;1;1;1;1;1;1;3;1;1;1;3;0;1
74171;ChicoAlencar;Chico Alencar;psol;RJ;0;0;0;0;0;NA;NA;0;0;0;0;1;1;0;0;1;0;1;0;0
141440;ChicoLopes;Chico Lopes;pcdob;CE;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0
178928;ChristianedeSouzaYared;Christiane de Souza Yared;ptn;PR;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1
178841;CiceroAlmeida;Cícero Almeida;psd;AL;1;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;1
178841;CiceroAlmeida;Cícero Almeida;prtb;AL;3;1;1;1;1;1;1;0;3;1;1;1;1;0;0;1;0;1;1;1
178939;ClarissaGarotinho;Clarissa Garotinho;pr;RJ;1;1;3;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;NA
74537;ClaudioCajado;Claudio Cajado;dem;BA;3;3;1;3;1;1;1;1;3;1;1;1;3;1;1;3;1;3;3;1
141408;CleberVerde;Cleber Verde;prb;MA;1;3;1;3;1;1;1;0;1;0;1;1;1;1;1;3;3;1;3;1
178963;CovattiFilho;Covatti Filho;pp;RS;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1
93472;CristianeBrasil;Cristiane Brasil;ptb;RJ;3;3;3;1;1;1;1;1;3;1;1;1;1;0;0;3;3;3;3;1
141411;Dagoberto;Dagoberto;pdt;MS;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;0
74467;DamiaoFeliciano;Damião Feliciano;pdt;PB;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;3;3;1;3;0
178892;DaminaPereira;Dâmina Pereira;pmn;MG;1;3;1;1;1;1;1;1;1;0;1;1;3;1;1;1;0;3;1;1
74060;DanielAlmeida;Daniel Almeida;pcdob;BA;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0
178916;DanielCoelho;Daniel Coelho;psdb;PE;1;1;0;NA;1;1;1;NA;1;1;0;1;1;0;0;1;1;1;0;1
144523;DanielVilela;Daniel Vilela;pmdb;GO;0;3;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1
62881;DaniloForte;Danilo Forte;pmdb;CE;3;3;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1
160552;DanrleideDeusHinterholz;Danrlei de Deus Hinterholz;psd;RS;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1
73891;DarcisioPerondi;Darcísio Perondi;pmdb;RS;1;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1
101309;DavidsonMagalhaes;Davidson Magalhães;pcdob;BA;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0
141413;DecioLima;Décio Lima;pt;SC;0;1;3;0;0;0;0;0;0;0;0;1;1;3;1;1;3;1;0;0
178908;DelegadoEderMauro;Delegado Éder Mauro;psd;PA;0;1;1;1;1;1;1;1;NA;0;1;1;1;0;1;1;0;1;0;1
178893;DelegadoEdsonMoreira;Delegado Edson Moreira;ptn;MG;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1
164359;DelegadoWaldir;Delegado Waldir;psdb;GO;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1
74172;Deley;Deley;ptb;RJ;1;NA;1;1;0;3;1;1;0;1;0;1;1;0;0;3;3;1;3;1
160588;DiegoAndrade;Diego Andrade;psd;MG;1;1;1;1;1;1;1;1;1;0;1;1;3;1;1;3;3;1;3;1
178929;DiegoGarcia;Diego Garcia;phs;PR;3;1;1;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1
73768;DilceuSperafico;Dilceu Sperafico;pp;PR;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
160599;DimasFabiano;Dimas Fabiano;pp;MG;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1
143632;DomingosNeto;Domingos Neto;pros;CE;1;3;1;1;0;3;1;0;1;1;1;1;NA;1;1;3;3;1;3;0
160758;DomingosSavio;Domingos Sávio;psdb;MG;1;3;0;1;1;1;1;1;1;0;1;1;NA;0;3;1;0;1;0;1
178994;DulceMiranda;Dulce Miranda;pmdb;TO;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
73447;EdinhoAraujo;Edinho Araújo;pmdb;SP;0;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;1
141417;EdioLopes;Edio Lopes;pmdb;RR;1;3;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0
134812;EdmilsonRodrigues;Edmilson Rodrigues;psol;PA;0;0;0;0;0;NA;NA;0;0;0;0;1;1;0;0;1;0;1;0;0
74655;EduardoBarbosa;Eduardo Barbosa;psdb;MG;1;1;0;1;0;0;1;1;1;0;1;1;1;0;0;1;0;1;1;1
92346;EduardoBolsonaro;Eduardo Bolsonaro;psc;SP;0;1;0;1;1;1;1;1;3;1;1;1;0;0;0;1;NA;1;1;1
74173;EduardoCunha;Eduardo Cunha;pmdb;RJ;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
178977;EduardoCury;Eduardo Cury;psdb;SP;1;3;0;1;1;1;1;1;1;0;1;1;NA;0;0;0;1;1;0;1
141421;EduardodaFonte;Eduardo da Fonte;pp;PE;3;3;3;1;1;1;3;3;1;3;3;3;1;1;1;3;3;3;0;1
141422;EfraimFilho;Efraim Filho;dem;PB;1;1;3;3;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1
74075;ElcioneBarbalho;Elcione Barbalho;pmdb;PA;1;1;3;3;0;0;0;0;1;1;3;1;1;1;1;3;3;3;3;0
